date,Share Repurchase,Cash Flow SBC,shares_outstanding,closing_price
2018-03-31,0.0,4834000.0,0.0,
2018-06-30,0.0,8793000.0,0.0,
2018-09-30,0.0,12681000.0,0.0,
2019-03-31,0.0,694000.0,127371000.0,
2019-06-30,0.0,1135293000.0,0.0,27.219999313354492
2019-09-30,0.0,1265581000.0,0.0,26.450000762939453
2020-03-31,0.0,81024000.0,0.0,15.4399995803833
2020-06-30,0.0,143169000.0,0.0,22.170000076293945
2020-09-30,0.0,234801000.0,0.0,41.5099983215332
2021-03-31,0.0,79459000.0,0.0,74.02999877929688
2021-06-30,0.0,179720000.0,0.0,78.94999694824219
2021-09-30,0.0,275982000.0,0.0,50.95000076293945
2022-03-31,0.0,73240000.0,0.0,24.610000610351562
2022-06-30,0.0,190653000.0,0.0,18.15999984741211
2022-09-30,0.0,326811000.0,0.0,23.299999237060547
2023-03-31,69476000.0,143122000.0,0.0,27.270000457763672
2023-06-30,500000000.0,312752000.0,0.0,27.34000015258789
2023-09-30,500000000.0,484633000.0,0.0,27.030000686645508
2024-03-31,0.0,162473000.0,0.0,34.66999816894531
2024-06-30,33336000.0,358906000.0,0.0,44.06999969482422
2024-09-30,500000000.0,566882000.0,0.0,32.369998931884766
2025-03-31,175000000.0,187426000.0,0.0,31.0
2025-06-30,227626000.0,414660000.0,0.0,35.86000061035156
2025-09-30,425013000.0,649796000.0,0.0,32.16999816894531
