date,Share Repurchase,Cash Flow SBC,shares_outstanding,closing_price
2008-07-31,0.0,36949000.0,937000000.0,15.756059646606445
2008-10-31,0.0,56225000.0,937000000.0,7.647086143493652
2009-04-30,0.0,21663000.0,937000000.0,10.574023246765137
2009-07-31,0.0,42540000.0,124000000.0,10.704931259155273
2009-10-31,0.0,62947000.0,124900000.0,14.017187118530273
2010-04-30,0.0,26468000.0,128700000.0,21.143102645874023
2010-07-31,0.0,53083000.0,129900000.0,24.440540313720703
2010-10-31,0.0,78715000.0,131400000.0,28.66916275024414
2011-04-30,0.0,47558000.0,133.9,34.23405075073242
2011-07-31,0.0,102152000.0,135500000.0,35.74320602416992
2011-10-31,0.0,159158000.0,136000000.0,32.892845153808594
2012-04-30,0.0,81266000.0,138000000.0,38.46513748168945
2012-07-31,0.0,166683000.0,139000000.0,30.71678352355957
2012-10-31,0.0,271795000.0,142000000.0,36.0568962097168
2013-04-30,0.0,114729000.0,590000000.0,40.61650085449219
2013-07-31,0.0,225205000.0,596000000.0,43.22481155395508
2013-10-31,0.0,366741000.0,603000000.0,52.719444274902344
2014-04-30,0.0,131092000.0,614000000.0,51.02997589111328
2014-07-31,0.0,273503000.0,619000000.0,53.598758697509766
2014-10-31,0.0,412963000.0,631000000.0,63.221839904785156
2015-04-30,0.0,142560000.0,656000000.0,71.94583892822266
2015-07-31,0.0,290339000.0,660000000.0,72.42007446289062
2015-10-31,0.0,434656000.0,664000000.0,76.77713775634766
2016-04-30,0.0,188919000.0,677500000.0,74.89007568359375
2016-07-31,0.0,371229000.0,685000000.0,80.81803894042969
2016-10-31,0.0,575980000.0,696700000.0,74.25775909423828
2017-04-30,0.0,252000000.0,712200000.0,85.086181640625
2017-07-31,0.0,508000000.0,718700000.0,89.70999908447266
2017-10-31,0.0,759000000.0,722300000.0,101.11145782470703
2018-04-30,0.0,252000000.0,733900000.0,119.53758239746094
2018-07-31,0.0,603000000.0,756700000.0,135.50357055664062
2018-10-31,0.0,954000000.0,765000000.0,135.59251403808594
2019-04-30,0.0,343000000.0,765000000.0,163.3650665283203
2019-07-31,0.0,731000000.0,776000000.0,152.6453094482422
2019-10-31,0.0,1274000000.0,877000000.0,154.6114044189453
2020-04-30,0.0,504000000.0,887000000.0,160.00588989257812
2020-07-31,0.0,1082000000.0,901000000.0,192.51092529296875
2020-10-31,0.0,1648000000.0,910000000.0,229.48171997070312
2021-04-30,0.0,564000000.0,915000000.0,227.55517578125
2021-07-31,0.0,1204000000.0,926000000.0,239.02577209472656
2021-10-31,0.0,2016000000.0,979000000.0,296.0924377441406
2022-04-30,0.0,776000000.0,985000000.0,173.8279571533203
2022-07-31,0.0,1627000000.0,995000000.0,181.8109588623047
2022-10-31,1743000000.0,2470000000.0,1000000000.0,160.63821411132812
2023-04-30,2144000000.0,696000000.0,1000000000.0,195.98870849609375
2023-07-31,4003000000.0,1420000000.0,974000000.0,222.3088836669922
2023-10-31,5928000000.0,2113000000.0,973000000.0,198.41915893554688
2024-04-30,2168000000.0,750000000.0,968000000.0,266.05865478515625
2024-07-31,6468000000.0,1560000000.0,969000000.0,256.42578125
2024-10-31,7753000000.0,2380000000.0,956000000.0,289.1502380371094
2025-04-30,2692000000.0,814000000.0,957000000.0,267.3865966796875
2025-07-31,4858000000.0,1607000000.0,956000000.0,257.46533203125
2025-10-31,8659000000.0,2426000000.0,952000000.0,259.9903564453125
